-1.50000000e-01  1.79999993e+00 -1.50000000e-01  9.99998493e-01 -1.50000000e-01  8.00001435e-01 
-1.47500000e-01  1.79999993e+00 -1.47500000e-01  9.99998516e-01 -1.47500000e-01  8.00001412e-01 
-1.45000000e-01  1.79999993e+00 -1.45000000e-01  9.99998538e-01 -1.45000000e-01  8.00001389e-01 
-1.42500000e-01  1.79999993e+00 -1.42500000e-01  9.99998561e-01 -1.42500000e-01  8.00001366e-01 
-1.40000000e-01  1.79999993e+00 -1.40000000e-01  9.99998584e-01 -1.40000000e-01  8.00001344e-01 
-1.37500000e-01  1.79999993e+00 -1.37500000e-01  9.99998607e-01 -1.37500000e-01  8.00001321e-01 
-1.35000000e-01  1.79999993e+00 -1.35000000e-01  9.99998629e-01 -1.35000000e-01  8.00001298e-01 
-1.32500000e-01  1.79999993e+00 -1.32500000e-01  9.99998652e-01 -1.32500000e-01  8.00001276e-01 
-1.30000000e-01  1.79999993e+00 -1.30000000e-01  9.99998675e-01 -1.30000000e-01  8.00001253e-01 
-1.27500000e-01  1.79999993e+00 -1.27500000e-01  9.99998697e-01 -1.27500000e-01  8.00001230e-01 
-1.25000000e-01  1.79999993e+00 -1.25000000e-01  9.99998720e-01 -1.25000000e-01  8.00001207e-01 
-1.22500000e-01  1.79999993e+00 -1.22500000e-01  9.99998743e-01 -1.22500000e-01  8.00001185e-01 
-1.20000000e-01  1.79999993e+00 -1.20000000e-01  9.99998766e-01 -1.20000000e-01  8.00001162e-01 
-1.17500000e-01  1.79999993e+00 -1.17500000e-01  9.99998788e-01 -1.17500000e-01  8.00001139e-01 
-1.15000000e-01  1.79999993e+00 -1.15000000e-01  9.99998811e-01 -1.15000000e-01  8.00001117e-01 
-1.12500000e-01  1.79999993e+00 -1.12500000e-01  9.99998834e-01 -1.12500000e-01  8.00001094e-01 
-1.10000000e-01  1.79999993e+00 -1.10000000e-01  9.99998857e-01 -1.10000000e-01  8.00001071e-01 
-1.07500000e-01  1.79999993e+00 -1.07500000e-01  9.99998879e-01 -1.07500000e-01  8.00001048e-01 
-1.05000000e-01  1.79999993e+00 -1.05000000e-01  9.99998902e-01 -1.05000000e-01  8.00001026e-01 
-1.02500000e-01  1.79999993e+00 -1.02500000e-01  9.99998925e-01 -1.02500000e-01  8.00001003e-01 
-1.00000000e-01  1.79999993e+00 -1.00000000e-01  9.99998947e-01 -1.00000000e-01  8.00000980e-01 
-9.75000000e-02  1.79999993e+00 -9.75000000e-02  9.99998970e-01 -9.75000000e-02  8.00000957e-01 
-9.50000000e-02  1.79999993e+00 -9.50000000e-02  9.99998993e-01 -9.50000000e-02  8.00000935e-01 
-9.25000000e-02  1.79999993e+00 -9.25000000e-02  9.99999016e-01 -9.25000000e-02  8.00000912e-01 
-9.00000000e-02  1.79999993e+00 -9.00000000e-02  9.99999038e-01 -9.00000000e-02  8.00000889e-01 
-8.75000000e-02  1.79999993e+00 -8.75000000e-02  9.99999061e-01 -8.75000000e-02  8.00000866e-01 
-8.50000000e-02  1.79999993e+00 -8.50000000e-02  9.99999084e-01 -8.50000000e-02  8.00000844e-01 
-8.25000000e-02  1.79999993e+00 -8.25000000e-02  9.99999107e-01 -8.25000000e-02  8.00000821e-01 
-8.00000000e-02  1.79977271e+00 -8.00000000e-02  1.00022635e+00 -8.00000000e-02  7.99546356e-01 
-7.75000000e-02  1.79824600e+00 -7.75000000e-02  1.00175308e+00 -7.75000000e-02  7.96492918e-01 
-7.50000000e-02  1.79538575e+00 -7.50000000e-02  1.00461335e+00 -7.50000000e-02  7.90772401e-01 
-7.25000000e-02  1.79130129e+00 -7.25000000e-02  1.00869783e+00 -7.25000000e-02  7.82603466e-01 
-7.00000000e-02  1.78608878e+00 -7.00000000e-02  1.01391036e+00 -7.00000000e-02  7.72178416e-01 
-6.75000000e-02  1.77983366e+00 -6.75000000e-02  1.02016549e+00 -6.75000000e-02  7.59668174e-01 
-6.50000000e-02  1.77261268e+00 -6.50000000e-02  1.02738649e+00 -6.50000000e-02  7.45226187e-01 
